Word,Part_of_Speech,Audio,Photos
gotować,verb,gotowacx.ogg,woman-kitchen-man-everyday-life.jpg
iść,verb,isxcx.ogg,"woman-away-nature-forest.jpg, this-way-confuse-where-to-go.png"
podpisać,verb,podpisacx.ogg,writing-pen-man.jpg
bić,verb,,policeman-riot-police-baton.png
ugiąć,verb,ugiaacx.ogg,bend-bent-over-heaving-human.png
złamać,verb,zlxamacx.ogg,"chain-breaking-link.png, broken-heart-love.jpg"
zbudować,verb,zbudowacx.ogg,construction-workers-craftsmen-build.png
spalić,verb,spalicx.ogg,fire-burning-house-flame.jpg
kupić,verb,kupicx.ogg,"woman-holding-card-while-operating-silver-laptop.jpg, assorted-business-desserts-display.jpg"
dzwonić,verb,dzwonicx.ogg,smiling-woman-holding-gold-iphone.jpg
nieść,verb,niesxcx.ogg,deliver-men-carrying-boxes-cartoon.png
złapać,verb,zlxapacx.ogg,"football-catch-players.jpg, fisherman-caught-fish-fishing.png"
czyścić,verb,czysxcicx.ogg,"bucket-cleaning-rags.jpg, bucket-cleaning-supplies-housework.png"
zamknąć,verb,zamknaacx.ogg,door-handle-ball.jpg
liczyć,verb,liczycx.ogg,learn-school-nursery-count.jpg
płakać,verb,plxakacx.ogg,sad-cry-tear-emotion-mood-face.jpg
kroić,verb,kroicx.ogg,scissors-cutting-cut.png
tańczyć,verb,tanxczycx.ogg,couple-dance-dancer-dancing.png
umrzeć,verb,umrzecx.ogg,"beyond-death-faith.jpg, scythe-death-skeleton.jpg"
kopać,verb,kopacx.ogg,shovel-trowel-digging.png
rysować,verb,rysowacx.ogg,kids-girl-pencil-drawing.jpg
pić,verb,picx.ogg,drinking-water-woman-bottle.png
jechać,verb,jechacx.ogg,old-man-drive-vintage-car.png
jeść,verb,jesxcx.ogg,cuisine-food-italian-antipasti.jpg
wybuchnąć,verb,wybuchnaacx.ogg,explosion.png
spaść,verb,spasxcx.ogg,fall-falling.png
karmić,verb,karmicx.ogg,"kid-feeding-antelope.jpg, baby-eating-firsts-food.jpg"
walczyć,verb,walczycxs.ogg,fighting-arguing.jpg
znaleść,verb,znalesxcx.ogg,needle-in-a-haystack.jpg
latać,verb,latacx.ogg,geese-birds-flock-wildlife-flying.jpg
śledzić,verb,sxledzicx.ogg,couple-in-love-stand-hand-hand.jpg
rosnąć,verb,rosnaacx.ogg,sapling-plant-growing.png
wisieć,verb,wisiecx.ogg,laundry-clothes-drying.jpg
słyszeć,verb,slxyszecx.ogg,close-up-communication-deaf-ear.jpg
uderzyć,verb,uderzycx.ogg,anger-fight-male.png
skoczyć,verb,skoczycx.ogg,fitness-jump.jpg
zabić,verb,zabicx.ogg,killing-someone.jpg
pocałować,verb,pocalxowacx.ogg,sunset-kiss-couple.jpg
śmiać się,verb,sxmiacx-siee.ogg,man-laughing.jpg
położyć się,verb,polxozzycx-siee.ogg,man-lying-floor.jpg
podnieść,verb,podniesxcx.ogg,weightlifting-clean-jerk.png
słuchać,verb,slxuchacx.ogg,headphones-listen.png
żyć,verb,zzycx.ogg,girl-freedom-happy-sun.jpg
kochać,verb,kochacx.ogg,love-heart-kiss-hearts-kissing.jpg
pobrać się,verb,pobracx-siee.ogg,marriage-wedding-bride-groom.jpg
topnąć,verb,topnaacx.ogg,ice-cube-melting.png
otworzyć,verb,otworzycx.ogg,open-door.png
zapłacić,verb,zaplxacicx.ogg,euro-money-pay-cash.jpg
grać,verb,gracx.ogg,"girls-kid-children-playing.jpg, basketball-team-play-scoring.jpg"
modlić się,verb,modlicx-siee,woman-praying.jpg
ciągnąć,verb,ciaagnaacx.ogg,wagon-pet-logos-pull-boy.jpg
pchać,verb,pchacx.ogg,push-pushing-move.png
biegać,verb,biegacx.ogg,running-woman-man-together.png
powiedzieć,verb,powiedziecx.ogg,something-to-say.jpg
widzieć,verb,widziecx.ogg,view-eyes-by-looking-woman.jpg
sprzedać,verb,sprzedacx.ogg,street-vendor-selling-rural-market.jpg
trzepać,verb,trzepacx.ogg,dog-golden-retriever-wet-shake.jpg
strzelać,verb,strzelacx.ogg,"submachine-gun-rifle.jpg, football-player-sport-shooting.png, man-sports-aim-archer-arrow-bow.png"
śpiewać,verb,sxpiewacx.ogg,singing-kids-child-group.png
siąść,verb,siaasxcx.ogg,pretty-woman-face-femininity-pose-sit.jpg
spać,verb,spacx.ogg,dream-sleep-pillow-blanket.png
wąchać,verb,waachacx.ogg,women-fragrant-flowers-smell.png
uśmiechać się,verb,usxmiechacx-siee,smiley-face-smile-happy.png
mówić,verb,moxwicx.ogg,conference-public-speaking.jpg
stać,verb,stacx.ogg,sundress-summer-dress-girl-stand.jpg
mieszać,verb,mieszacx.ogg,hand-mechanic-coffee-break-stir.jpg
pływać,verb,plxywacx.ogg,swim-swimmer-crawl-lake.jpg
uczyć,verb,uczycx.ogg,male-teacher-cartoon.jpg
myśleć,verb,mysxlecx.ogg,think-women-head.png
rzucić,verb,rzucicx.ogg,water-balloon-throwing.png
dotknąć,verb,dotknaacx.ogg,michelangelo-abstract-boy-child-touch.jpg
zakręcić,verb,zakreecix.ogg,arrow-turn-left-blue-handdrawn.png
obudzić,verb,obudzicx.ogg,wake-up-morning-bed-sleeping.png
myć,verb,mycx-siee,washing-dishes.jpg
oglądać,verb,oglaadacx.ogg,watching-tv-kid.png
wygrać,verb,wygracx.ogg,boxing-winner-looser-sport-fighter.jpg
pracować,verb,pracowacx.ogg,railroad-workers.jpg
pisać,verb,pisacx.ogg,writing-write-fountain-pen.jpg
pięć,cardinal number,pieecx.ogg,five.jpg
cztery,cardinal number,cztery.ogg,four.jpg
jeden,cardinal number,jeden.ogg,one.png
sto,cardinal number,sto.ogg,one-hundred.png
milion,cardinal number,milion.ogg,one-million.jpg
tysiąc,cardinal number,tysiaac.ogg,one-thousand-banknote-polish.png
trzy,cardinal number,trzy.ogg,three.png
dwa,cardinal number,dwa.ogg,two.png
zero,cardinal number,zero.ogg,zero.png
pierwszy,ordinal number,pierwszy.ogg,first.png
drugi,ordinal number,drugi.ogg,second-ordinal.png
trzeci,ordinal number,trzeci.ogg,third.png
piękna,adjective,pieekan.ogg,"beautiful-woman.jpg, beautiful-nature.jpg"
duży,adjective,duzzy.ogg,"big-elephants.jpg, big-wave.jpg"
czarny,adjective,czarny.ogg,"black-swan.jpg, black-cat.jpg"
ślepy,adjective,sxlepy.ogg,blind-person.jpg
niebieski,adjective,niebieski.ogg,"woman-with-blue-hair.jpg, cat-with-blue-eyes.png"
brązowy,adjective,braazowy.ogg,"brown-dog.jpg, brown-wooden-floor.jpg"
tani,adjective,tani.ogg,"80-percent-off-sale.jpg, old-Toyota-Corolla.jpg"
czysty,adjective,czysty.ogg,"girl-with-mop-spray.jpg, clean-dining-room.jpg"
zimny,adjective,zimny.ogg,"blizzard-snow-woman-winter-clothes.jpg, chihuahua-dog-blanket-cold-winter.jpg"
